reviewId,date,time,reviewCreatedVersion,country,score,thumbsUpCount,content,contentLength,sentiment,sentimentScore,contentLength,repliedAt,replyContent
gp:AOqpTOGZqZi5zJW3rlvHhFHErHwyR5TnCfpCC4JmxfOoGKOE4LXnuqJNm0ItVSYJ81NPSv7LAH3VG8DiuVu6,2022-04-29,16:12:11,10.0.1.03,US,5,29,"I found their website first it is full of really well explained technical, coding and specific OS commands. This app is nice as a first go to for answers to coding issues especially. Thanks guys.",35,POSITIVE,0.9988973140716553,35,,
gp:AOqpTOFiE5aMyUsDyiXcH8EFs84TSg4e8zJATR-wMT3a1x1GtogDtoZSis38nS4S-s89x-PgqexGkxbNb_Jj,2022-04-25,13:33:00,,US,5,0,One of the best,4,POSITIVE,0.998672604560852,4,,
gp:AOqpTOGPjdE0CKVKcWO-XU9OY6lpSrOS6whJhfKn2up2chWMgclyeZjamdpzSm-xwI60gX7LMuPe57RFBEAr,2022-04-14,19:22:18,10.0.1.03,US,5,0,Nice,1,POSITIVE,0.9977694749832153,1,,
gp:AOqpTOGzJ6B2fqigp2yJUe6aLOvPubZSTXWDJ9AH9NqpMDdzBehe5y_7ofVP2oQiAoUpfIllEs1qWxgYIvdU,2022-04-05,07:28:45,10.0.0.13,US,5,0,Great 😃 👍,3,POSITIVE,0.9987841248512268,3,,
gp:AOqpTOEHiZyZLKl1pT1gDk0Xa5GZ1cFOyYnzokrKlpZUN174jZA-1k50TWijzGFBAj1Dj6XBT5Q3IUFqzWl4,2022-04-02,04:19:50,10.0.1.03,US,5,12,"Excellent aap for beginners and expert, best user interface, many articles on desired topics, quizs on different languages topics and DSA. Best is offline support . All in one best experience 👍.",32,POSITIVE,0.9988887906074524,32,,
gp:AOqpTOHLbh5H6QPwXFAJLdVM8SbHa0UFz3W1Zb5Fnl6lw8FrtCIPa12CgiEf46KHydzKG6efEE926MdgdLr6,2022-04-01,05:29:39,10.0.0.13,US,5,0,Nice app for programmers,4,POSITIVE,0.998749852180481,4,,
gp:AOqpTOFoMkwFWSUsPFCz18ykBwy9K1-PnitsouOav-M7BgPL9rVGvTfDcEwKEVcUFhCFD_pIDIrzvEpFFrL5,2022-03-30,11:14:04,,US,5,0,As student not more have experience,6,POSITIVE,0.9503052830696106,6,,
gp:AOqpTOE9BlSP9AKV2sMB7RaZZHeHRxadJHyUxAVetWp5oQY1MsF6LbzZBHRGcNCMKSLj6q2u8K8H13K7sQY2,2022-03-29,16:22:29,10.0.1.03,US,5,0,Great. Amazing job. Keep going,5,POSITIVE,0.9988192915916443,5,,
gp:AOqpTOGg9oVx9sBvPIfGEzwQzbRnwBDIGRYod3MgbROGPP6Y8ktrq2_kMY1VCoAUbAqmOTKP1pr-bIvMlXV3,2022-03-26,10:00:08,10.0.1.03,US,4,8,This app is great but it would have been more better if we can save and group articles according to needs. Please add this Feature,25,POSITIVE,0.9986415505409241,25,,
gp:AOqpTOEKRGrJxXFRRQkqBODTbpbDkeWFn_SZKKycV9BgbWSuiQE_VLdir6fUWgwcZQntUIuXpzyUiCNS4lL0,2022-03-23,12:20:22,10.0.1.03,US,5,0,there is a problem on that day but now its perfect,11,POSITIVE,0.9987748265266418,11,2022-02-02 08:11:01,"Hello, did your problem get resolved? If not, we are here to help you! Please do let us know at support@geeksforgeeks.org."
gp:AOqpTOFJOMCozYbvQgRVHUDlYRJEFzLN7_9EaA7q1raogTYwLSw-jav8_x6PA3IpGkRMKRsQbXntY_yx5aL6,2022-03-22,15:23:42,10.0.1.03,US,5,0,Alhamdhulillah,1,POSITIVE,0.9960994720458984,1,,
gp:AOqpTOECEu6LRO188euw_NmNLGRoXuvidSx_nbjIZEea8ozuHBZTcLJT01f2IM3H1qRr75LW09f_cPP-wZAJ,2022-03-21,07:29:59,10.0.1.03,US,3,1,The app is good but suddenly the LinkedIn sign in stop working I can't login.,15,NEGATIVE,0.9994804263114929,15,,
gp:AOqpTOGgXcGczdrIDuiFBiaxAX72e1tFxrT_SzUVMS8zj1lPsWfs1CLySFOj3Ruil5UP5BR5hCKcHfWYrAnO,2022-03-20,19:32:12,,US,2,0,When I try to quiz it takes so much time for loading 🙃,13,NEGATIVE,0.999462902545929,13,,
gp:AOqpTOFaYZRicipWLtbzyoERSVpgPu-yWSv-WgUz7zXVrbTNfnAPBW8oaUabWRGIEq3vwbLWkOT3V3FM6lbN,2022-03-19,06:27:49,10.0.1.03,US,5,0,Best app,2,POSITIVE,0.9981516003608704,2,,
gp:AOqpTOG5rAaWPbcYEWcdQNRNda02e3ONBNiyHRLiAaEHm_5kjCql4ZLCrT-6dMe9lzvEQIUVnSQlr6Lcmi0Q,2022-03-13,19:18:46,10.0.1.03,US,4,33,Even if my internet speed is more than 3 to 4 Mbps it doesn't utilise it properly while downloading offline videos it gives me only 600 to 800 Kbps while downloading.,31,NEGATIVE,0.9994791150093079,31,,
gp:AOqpTOGn8V4s4HO4fw0PZGZLZHpI9yNOk8dZGUdzW8lzvAWyeyshXfKZnpFiFCCrQKTZkM_Qm9tYHoI83Aqh,2022-03-11,11:52:21,10.0.1.03,US,5,0,Good,1,POSITIVE,0.9984152317047119,1,,
gp:AOqpTOGHKB-bb1mHCbttuO1VPoUeh1w2Of8Fc_31uxOWxfg4dXzEzmrcQBjHp1RUI_LsNOjxdvJ9poBzrEOK,2022-03-10,05:14:04,,US,5,0,"Please suscribe my channel ,(MOOD FOR PYTHON)🥺🥺",7,POSITIVE,0.9984739422798157,7,,
gp:AOqpTOF4rfzbwF9zRs-GCZdysb2MYfJ9rv5TFQGAqH9QahfSG84fr9p9_Yixx7rY-xevkteX9OXnIRM7ZtU5,2022-03-09,15:00:57,,US,5,0,Looks interesting,2,POSITIVE,0.9854562878608704,2,,
gp:AOqpTOErdMWJpDPYcB_ZrS2uk5hnI6SO7nX30QuBQ01NSyboLwwxb86ZMWbiGafqc6weV9NmDm2jZ1_SEZ_s,2022-03-09,07:34:55,10.0.1.03,US,5,19,This is the best app available on the Play Store for learning algo and data structures about python! Download it.,20,POSITIVE,0.9988663196563721,20,,
gp:AOqpTOF_frfhaoFNyRoUoQQJnIhRpdyDRdof5U12MAgCbZF4obIfKUzKIig5tgnKPpYQMk5DjhUAvJ5LolmM,2022-03-08,20:00:14,10.0.1.03,US,5,0,A Powerful Tool which can change your life. I ain't joking.,11,POSITIVE,0.9980034232139587,11,,
gp:AOqpTOGisuCZV3T_InF6GDxpVGR-tEYcDFiysFKov5r9F4CDl_0fbjMaoJzSY_bRxvxcitMLljQBwy0id1VT,2022-03-06,18:15:46,10.0.1.03,US,4,1,please provide the option for change download device as SD card,11,POSITIVE,0.9595949053764343,11,,
gp:AOqpTOFVS-eeWKH2d66kowiMlY65wwU83FcZqOPkXWUf2wWIB7dmL1ptv2cgyMxDVAVKaQuGvguKc9vVBSb5,2022-03-03,18:05:40,,US,5,0,Best app for learning programing,5,POSITIVE,0.998665452003479,5,,
gp:AOqpTOFLNs4Sk9u3_f38y6gZZ0VADvwHkNgWAZCB2zMsD2NvYkOMTR1aM0QZPJS2MKa8odmEpE07CtQTaHXn,2022-03-02,16:23:33,10.0.1.02,US,1,0,I can't even sign up its alway telling something went wrong.,11,NEGATIVE,0.9995051622390747,11,,
gp:AOqpTOGfqCHfICMH6R-TohC3_11N4V_CPqjFsoHZ4khG1Jc3iODulZH8o1VuSvc_F9oCe8vE48zZC4DIsv-K,2022-02-28,06:12:13,9.2.1.02,US,5,2,Good,1,POSITIVE,0.9984152317047119,1,2022-02-28 05:27:30,"Thank you for your feedback. We have added this feature, Please update your app on Google Play store and try again."
gp:AOqpTOF4ygAQectv3MrOvEK8CLWeQd2-xTdf5nxc9hoEm5DWDYTxPm00ObcjR_kF0CoBR3ewU4sg9KKmYlHN,2022-02-28,05:24:45,10.0.1.02,US,5,0,This app is really good,5,POSITIVE,0.998647153377533,5,2022-02-28 05:22:29,Thank you for your encouraging words.
gp:AOqpTOGm7Ons75a1rlgMrqGGMaCNadGUT__RahTojIYhuaHahKVcb-JX_eb7t62l4-bB1NGeZM0GZgqGHump,2022-02-23,18:10:22,10.0.0.13,US,4,3,Lovely i can see the enrolled course from mobile now it is really awesome thanks gfg. There is some issue in loading some pages in OS CN course,28,POSITIVE,0.9988265633583069,28,2022-02-28 05:21:29,We are really sorry for the trouble and we appreciate you bringing this issue to our attention. Please reach out to us at support@geeksforgeeks.org if you have any other issues.
gp:AOqpTOHi_z-X1nyDbDBt5nnXHrNCmN4kwAeFxGAvyV97a3GUnZdAc-TXERc9FIb_jWPFH6Kms5811lFfBlp-,2022-02-22,16:55:56,,US,1,0,The installation is not moving forward from 48%,8,NEGATIVE,0.9994825124740601,8,,
gp:AOqpTOFkeNEhXCQs7pAaGwDyiMezt0yTyBMIFtR-Uaz0vhKFolvO93-yW9T2CNNYuN08KYjGMiNkjtvKfx5H,2022-02-22,03:23:55,10.0.1.02,US,1,48,"The website is great, but started using the app very recently. Wanted to report a bug that password is shown instead of username under the profile image icon in app.",30,NEGATIVE,0.9883572459220886,30,2022-02-24 06:45:08,"Hi, we would like to fix this. As we don't have your email address, can you please write to us at support@geeksforgeeks.org so that we can help you better. We look forward to your email."
gp:AOqpTOE9bPD5jx8pQSqoIGKFLBJcXdtNyl6hbULSl1iXSY1Q6Yz0a3i7k4soG56DpPe8oyl98YTh-E0D_YoB,2022-02-21,17:05:27,,US,3,0,The download option is great. But how can I delete the downloaded content,13,NEGATIVE,0.9892751574516296,13,,
gp:AOqpTOE2TG32F3E4M1rqijPTYj2Q6ErknjBZsWW9Cbo9qoQJz-uSGaWWIr3xaCYPM9rgiJJKLABcdQXnc0c1,2022-02-21,12:58:53,,US,5,0,This app like Aladdin lamp for programmer,7,POSITIVE,0.9877994060516357,7,2022-02-28 05:21:54,"Dear User, we are happy to know that you found our app useful. Please help us by spreading the word amongst your friends. If you have any feedback or suggestions, please write to us at support@geeksforgeeks.org. We would love to hear from you!"
gp:AOqpTOGHIDkXpZI8ins7cGeyuY6o0c9y0aA1_JXMwAsC48ws6esfJ8JYgMD9s_uC3tLV4mZLLuWsVeqJI9OJ,2022-02-20,06:55:52,10.0.0.13,US,5,0,Very good app. It contains lot of information and data. ⭐⭐⭐⭐⭐,11,POSITIVE,0.9987931251525879,11,2022-02-28 05:22:17,"Thank you for your review. Enjoy reading & keep supporting us :)
If you have any feedback or suggestion, you could write to us at support@geeksforgeeks.org. We would love to hear from you!"
gp:AOqpTOHWqq9f6xKl4UVFTPU3cVW9qADJYfoVxqfZm7_o7AC5R9HB__I1O_bxB3ygmLHWTYbZRMczqo7kMToK,2022-02-19,09:58:37,10.0.1.02,US,5,0,love this app so much it got all the things a engineering student would require ❤️,16,POSITIVE,0.9988927245140076,16,2022-02-21 05:42:49,"Dear User, we are happy to know that you found our app useful. Please help us by spreading the word amongst your friends. If you have any feedback or suggestions, please write to us at support@geeksforgeeks.org. We would love to hear from you!"
gp:AOqpTOEuRs65OqErmiUz6mHVOCCJYRqRlCBJQMqIfcFN6rzn2N-hkzCyAh_zXFJJkM54IkBnhBr3-nCL3Djk,2022-02-19,09:34:51,10.0.0.13,US,5,0,Must-have App... 😇,3,POSITIVE,0.998765230178833,3,2022-02-28 05:22:52,"Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at support@geeksforgeeks.org if you have any questions."
gp:AOqpTOFV67o23jl1qHHI8jDlI6JgXm1_Rkvlx1M_kQTnhHx0TZMiTP8IqMkUTRptDAvuE6dUewhfdWuXAkL2,2022-02-17,21:23:55,10.0.1.02,US,5,0,Extremely useful app from geekforgeeks in mobile.i simply love it😍😍,10,POSITIVE,0.9988672733306885,10,2022-02-21 05:39:27,"Dear User, we are happy to know that you found our app useful. Please help us by spreading the word amongst your friends. If you have any feedback or suggestions, please write to us at support@geeksforgeeks.org. We would love to hear from you!"
gp:AOqpTOEZM8EoDqk_6cQeDO23oKc0qgeQqYyPsyuNpgeTHnVm66QY7N_ofTXoyyhEKrXxG5NSVkqocamqqaRS,2022-02-14,14:59:07,,US,5,0,Gfg is great 👍,4,POSITIVE,0.9987615346908569,4,2022-02-28 05:23:07,It is delightful to hear such positive words and it’s always a pleasure to serve our users.
gp:AOqpTOGbZKVIwCgryHdY4R3w9wAkuIZVcFSBGyjsAS4YwJGNOSe8YbC80Gk1KWrskhzyj0-onBUGduzJOVe5,2022-02-12,09:21:09,10.0.0.13,US,5,0,This application is best for learn programming and data base,10,POSITIVE,0.9987149238586426,10,2022-02-28 05:23:21,"Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at support@geeksforgeeks.org if you have any questions."
gp:AOqpTOH6Hnn22vCNs-wmFK1Pi2N7NODlKMkiTtJ3h5Blv0r_FWeXwRwpKHfcfOeAMC6aGw7CpMM9csIGvHHK,2022-02-10,09:27:22,10.0.1.02,US,5,1,"Handy app,To keep for all Developers, interviewers. Practice Practice Practice",10,POSITIVE,0.9987897276878357,10,2022-02-21 05:40:25,"We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at support@geeksforgeeks.org!"
gp:AOqpTOHu00tODFs8MtuLLpXSaau3TjFOAS7yPjnhoeFmFMP2_tfVr1S7EPjhugLb3SToWQdNlBPj3TuUF8VT,2022-02-08,04:36:44,,US,5,0,"This is amazing for computer science students. I bought three self placed courses DSA, Android Development and Machine Learning. Those courses were so amazing. Best place to start learning as a beginner.",32,POSITIVE,0.9988744854927063,32,,
gp:AOqpTOGT9PchDS32D0Ot6O6saRx04AruXCsAHunikO7NFr7dl4129Mpj4Zs_l8gdB9WnLvfSPnVJXMV8JKM9,2022-02-06,07:31:26,,US,5,3,Hi. Everything works and the app is great but I have one issue. The home page articles are not updating at all. Can you look into this? Or do I have to turn on some option for changing feed? Thanks. Cheers.,41,POSITIVE,0.9934316277503967,41,,
gp:AOqpTOFz4XT1PeuIUZZQDBes6GCjArOPjOs2gwm-tOgpMK0Ycpri75t8io3edu2GpOfJMotedE13OAngcQC8,2022-02-05,10:49:13,10.0.0.13,US,3,4,Please fix the video player. Videos in some sections give errors.,11,NEGATIVE,0.9988547563552856,11,,
gp:AOqpTOHDpimYDp3FswegUR8L319N0AxAKpYSXYpHLlT5yjADYhqFflBU-LCx02zCQBChlRYMKwgSS8ANbva4,2022-02-04,08:08:34,,US,4,2,"Hi Team, Can u please look into this issue mentioned below.. When I try to open tracks from DSA self paced course..I get this error : something went wrong ..even on swiping to refresh it doesn't get solved. Again on going back n revisiting twice ..able to see the videos.. Also in videos if you could provide us with previous and next button..it would be helpful.otherwise we have to go back n again open next video..it's not continuous..",78,NEGATIVE,0.9994860887527466,78,,
gp:AOqpTOF8tEzZFoYR2Ryh113fQ-GMv_gSwWzHmBrPfiiivjcd4Fr-z5Wywev5tFaaQz7ycWwAXc5g5CNqALWA,2022-02-04,05:01:20,,US,3,0,Logging Issue🥺,2,NEGATIVE,0.9975403547286987,2,,
gp:AOqpTOGUufKdVfEAi_XW1Yq0cH4cIXq8Z8FN8WBsbwSyrqOJQZvlbg6c7hSFN96XhXW9SdV-lhLcCOYQw6oc,2022-01-28,20:02:28,10.0.0.13,US,5,0,Nice for beginners,3,POSITIVE,0.9978073239326477,3,,
gp:AOqpTOEVin-8haTWSl9mHdVNy9KzeqjUHAC2bynd3iJOVh_9Im-pvbvqtOhK7Xuewpb4GdLykKOAskBz_uf9,2022-01-28,16:51:58,,US,5,0,Thanks GFG,2,POSITIVE,0.9979206919670105,2,,
gp:AOqpTOFggCQbMdwKprhjPPzLTB3rgqvKrcU1dZX68T5q14NdqiXvWaWYzhqf6fRdJ-EaBKUsWzXq9yC2j9e5,2022-01-22,05:48:35,10.0.0.13,US,4,19,This is very good application for IT lover the app is like a gift 1000 of articel and puzzle but their is something is missing Which is video on the appliction i hope you add video on application👍🏻,38,POSITIVE,0.9987849593162537,38,,
gp:AOqpTOHioGW5gbz7mcifFYkC8qhRcqtLwlLQ-Ef4w0STMBtIRR3ketbg8T0CHwXMO2NnbtAPwKyJQkP1ExOi,2022-01-21,18:44:02,10.0.0.13,US,5,1,Excellent App...for Students..,3,POSITIVE,0.9987754225730896,3,,
gp:AOqpTOEsRSg9_lASxgG8Z0LBiU-VvhSfI4CYMhRsnVDPTB_UW4xDjy4nRlds28p8Fro_Ek03Z836tsMy1vKS,2022-01-21,11:02:37,10.0.0.13,US,5,58,App perfectly work and very helpful to us(computer science field) but no option to download the lacture video even we take subscription.I extremely requested to #GFG team please add download feature to remove our problem related to network and data availability.,41,POSITIVE,0.9900491237640381,41,,
gp:AOqpTOEIISF06u7tCpKvrI8A-OkkNJ4M449QqMs6w9p2L__D_BWbBHkeLvOCtud4wOQ8Ro6-YqEio1NeOIQ7,2022-01-16,16:12:38,,US,1,0,"If only your geeks could write articles in English, I'd gave you 5 star.",14,POSITIVE,0.9915902018547058,14,2022-02-28 05:28:05,"Hello,
Your problem needs more detailed examination. Please report it to our technical support team at support@geeksforgeeks.org. We are always looking to help our users."
gp:AOqpTOHxUSxyqLM3U6mpisRC9eJF4NIcUCXAGrM1xP8A5_tn1_gVHEdCuiwNXXMIAGW5zslGy_2nbXz0Kz3A,2022-01-14,15:52:37,,US,4,0,Cs students,2,POSITIVE,0.9799897074699402,2,,
gp:AOqpTOF8ETrJeTXaw7LvpcZINa2GkO6pghQXxP-mg_bo26irJr3I_sfOg9vCc1Xjrs1kMHBuR9mzS2xA5NuY,2022-01-14,07:57:01,,US,5,0,It is the best 😌,5,POSITIVE,0.9987702965736389,5,,
gp:AOqpTOGRs3064V8Z3m1d0lXb-bBaDDd3IXMwiUlL9tDUP9bmn_f4WPGXMuK_XkjRSZCuK1dpINy3ZXCV4H41,2022-01-09,13:45:09,10.0.0.13,US,5,0,Best no 1 platform for gaining more knowledge through online nowadays,11,POSITIVE,0.9984013438224792,11,,
gp:AOqpTOFuXYx0QvCHfO1upd8y1ch_loa1lWGeYtqW4gCU_RmnKtCjr2SOLLtobeeWY3lPlhc2h3_GdglWuWgf,2022-01-05,13:57:18,10.0.0.13,US,2,0,Facebook login is not possible.Pls fix asap,7,NEGATIVE,0.9992122650146484,7,2022-01-19 06:58:52,We have already fixed this issue. Please update your app on Google Play store and try again.
